a52dec 0.7.4-11
aalib 1.4rc5-14
accounts-qml-module 0.7-3
acl 2.2.53-3
adobe-source-code-pro-fonts 2.038ro+1.058it+1.018var-1
adwaita-icon-theme 3.38.0-1
alembic 1.7.16-1
alsa-card-profiles 1:0.3.20-1
alsa-lib 1.2.4-3
alsa-plugins 1:1.2.2-2
alsa-topology-conf 1.2.4-2
alsa-ucm-conf 1.2.4-2
alsa-utils 1.2.4-2
amdvlk 2021.Q1.1-2
android-tools 30.0.5-1
android-udev 20201003-1
aom 2.0.1-1
apparmor 3.0.1-1
appstream-glib 0.7.18-1
arandr 0.1.10-5
archlinux-appstream-data 20201223-1
archlinux-keyring 20210110-1
argon2 20190702-3
aribb24 1.0.3-3
aspell 0.60.8-2
at-spi2-atk 2.38.0-1
at-spi2-core 2.38.0-1
atk 2.36.0-1
atkmm 2.28.1-1
attica 5.78.0-1
attr 2.4.48-3
audit 3.0-1
autoconf 2.70-1
automake 1.16.2-3
avahi 0.8+15+ge8a3dd0-3
babl 0.1.82-1
baloo 5.78.0-1
base 2-2
bash 5.1.004-1
bat 0.17.1-1
bc 1.07.1-4
bcompare 4.3.7.25118-1
bcompare-cinnamon 4.3.7.25118-1
bcompare-kde4 4.3.7.25118-1
bcompare-kde5 4.3.7.25118-1
bcompare-mate 4.3.7.25118-1
bcompare-nautilus 4.3.7.25118-1
bcompare-thunar 4.3.7.25118-1
binutils 2.35.1-1
bison 3.7.6-1
blas 3.9.0-3
blender 17:2.91.2-1
blosc 1.21.0-1
blueman 2.1.4-1
bluez-git 1:5.54.r354.gc9f7c61fd-1
boost-libs 1.75.0-2
brotli 1.0.9-4
btrfs-progs 5.10-1
bubblewrap 0.4.1-1
bzip2 1.0.8-4
c-ares 1.17.1-1
ca-certificates 20181109-4
ca-certificates-mozilla 3.60.1-1
ca-certificates-utils 20181109-4
cairo 1.17.4-3
cairomm 1.12.2-4
cantarell-fonts 1:0.301-1
cblas 3.9.0-3
ccache 4.2-1
cdparanoia 10.2-8
cfitsio 1:3.49-1
chromium 88.0.4324.96-1
clang 11.0.1-1
cloc 1.88-1
clucene 2.3.3.4-11
cmake 3.20.0-1
coin 4.0.0.f4e446-1
colord 1.4.5-1
compiler-rt 11.0.1-1
convertlit 1.8-10
coreutils 8.32-1
cracklib 2.9.7-2
cryptsetup 2.3.4-1
cups 1:2.3.3op1-1
cups-filters 1.28.7-1
curl 7.74.0-1
dav1d 0.8.1-1
db 5.3.28-5
dbus 1.12.20-1
dbus-glib 0.110-2
dconf 0.38.0-1
desktop-file-utils 0.26-1
device-mapper 2.02.187-3
dfu-util 0.10-1
dhclient 4.4.2-2
dhcpcd 9.4.0-1
dialog 1:1.3_20201126-1
diffutils 3.7-3
discord 0.0.13-1
dkms 2.8.4-1
dmenu 5.0-1
dmraid 1.0.0.rc16.3-12
dnssec-anchors 20190629-3
docbook-xml 4.5-9
docbook-xsl 1.79.2-7
dosfstools 4.1-3
double-conversion 3.1.5-2
doxygen 1.9.1-1
dunst 1.5.0-1
dwarffortress 0.47.04-3
dwm 6.2-1
e2fsprogs 1.45.6-3
ebook-tools 0.2.2-7
efibootmgr 17-2
efivar 37-4
electron9 9.4.1-1
elfutils 0.182-1
ell 0.36-1
embree 3.12.1-1
enchant 2.2.13-2
etcher-bin 1.5.110-1
exiv2 0.27.3-1
exo 4.16.1-1
expat 2.2.10-2
faad2 2.10.0-1
fakeroot 1.25.3-1
faudio 21.01-1
ffmpeg 2:4.3.1-4
fftw 3.3.9-1
file 5.39-1
filelight 20.12.1-1
filesystem 2021.01.19-1
findutils 4.7.0-2
firefox 84.0.2-1
flac 1.3.3-2
flameshot 0.8.5-1
flashplugin 32.0.0.465-1
flatpak 1.10.0-1
flex 2.6.4-3
fmt 7.1.3-1
fontconfig 2:2.13.91+48+gfcb0420-2
fontforge 20200314-5
foomatic-db-engine 4:20200206-1
freeglut 3.2.1-2
freeimage 3.18.0-7
freetype2 2.10.4-1
fribidi 1.0.10-1
fuse-common 3.10.1-1
fuse2 2.9.9-4
galculator 2.1.4-5
gawk 5.1.0-1
gc 8.0.4-4
gcab 1.4-1
gcc 10.2.0-6
gcc-libs 10.2.0-6
gcr 3.38.1-1
gd 2.3.0-1
gdbm 1.19-1
gdk-pixbuf2 2.42.2-1
gdl 3.34.0-2
gegl 0.4.26-1
geoclue 2.5.6-1
geocode-glib 3.26.2-1
gettext 0.21-1
ghostscript 9.53.3-2
giflib 5.2.1-2
gimp 2.10.22-1
git 2.31.1-1
gl2ps 1.4.2-2
glew 2.2.0-2
glfw-x11 3.3.2-2
glib-networking 2.66.0-1
glib2 2.66.4-2
glib2-docs 2.66.4-2
glibc 2.33-4
glibmm 2.64.5-1
glm 0.9.9.8-1
glslang 11.1.0-1
glu 9.0.1-2
gmp 6.2.1-1
gn 0.1831.e002e68a-1
gnome-desktop 1:3.38.3-1
gnome-icon-theme 3.12.0-6
gnome-icon-theme-symbolic 3.12.0-6
gnome-keyring 1:3.36.0-3
gnupg 2.2.27-1
gnutls 3.7.0-1
go 2:1.15.7-1
go-tools 2:1.15+4895+c1934b75d-2
gobject-introspection-runtime 1.66.1-3
gperf 3.1-3
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.6-1
graphene 1.10.2-1
graphite 1:1.3.14-1
graphviz 2.44.1-6
grep 3.6-1
groff 1.22.4-3
grub 2:2.04-8
gsettings-desktop-schemas 3.38.0-1
gsfonts 20200910-1
gsl 2.6-2
gsm 1.0.19-1
gst-libav 1.18.3-1
gst-plugins-base 1.18.3-1
gst-plugins-base-libs 1.18.3-1
gstreamer 1.18.3-1
gtk-doc 1.33.2-1
gtk-update-icon-cache 1:4.0.2-1
gtk2 2.24.33-1
gtk3 1:3.24.24-2
gtkmm 1:2.24.5-4
gtkmm3 3.24.3-1
gtkspell3 3.0.10-2
gts 0.7.6.121130-2
